ID,stress_score
TEST_0000,0.4308995650830625
TEST_0001,0.9672330690602311
TEST_0002,0.2320640244417922
TEST_0003,0.3338652377335499
TEST_0004,0.49042058185992266
TEST_0005,0.41911129880175996
TEST_0006,0.7531489996558924
TEST_0007,0.30930582088435304
TEST_0008,0.512694498166228
TEST_0009,0.826691396156371
TEST_0010,0.8888654068900143
TEST_0011,0.3686982106915259
TEST_0012,0.6796397234875212
TEST_0013,0.8357112457065332
TEST_0014,0.7435141003805055
TEST_0015,0.5586858010496838
TEST_0016,0.5144433165207903
TEST_0017,0.20626706681916276
TEST_0018,0.6800894151034065
TEST_0019,0.715009919356622
TEST_0020,0.3265098619573946
TEST_0021,0.5539346973971916
TEST_0022,0.527908933528927
TEST_0023,0.564029092514922
TEST_0024,0.4095280974962572
TEST_0025,0.5532859625927325
TEST_0026,0.6893862131678852
TEST_0027,0.5082550481801994
TEST_0028,0.575036216511391
TEST_0029,0.6507681277104739
TEST_0030,0.4910924561657455
TEST_0031,0.4096692112670533
TEST_0032,0.34312134335463407
TEST_0033,0.5149671005412731
TEST_0034,0.4961635309100272
TEST_0035,0.7140765418624822
TEST_0036,0.5140405045784331
TEST_0037,0.41027287038145643
TEST_0038,0.6431673851195366
TEST_0039,0.5605999343995481
TEST_0040,0.4006548159858895
TEST_0041,0.41490488360325717
TEST_0042,0.8590706244666069
TEST_0043,0.5414272518362399
TEST_0044,0.41707009259581473
TEST_0045,0.5612580051818934
TEST_0046,0.37112519224312013
TEST_0047,0.5031344443923517
TEST_0048,0.33081125335062145
TEST_0049,0.48813484815358676
TEST_0050,0.559623776533436
TEST_0051,0.8262721095973027
TEST_0052,0.8047870549831804
TEST_0053,0.51168769520659
TEST_0054,0.30445491342514425
TEST_0055,0.3895772170204826
TEST_0056,0.4872285713736463
TEST_0057,0.6064293022623972
TEST_0058,0.3628576603249874
TEST_0059,0.8177742182414056
TEST_0060,0.8027130406659623
TEST_0061,0.3153361016084191
TEST_0062,0.4731526377234305
TEST_0063,0.7548145757795832
TEST_0064,0.47294112050538106
TEST_0065,0.5518618700605558
TEST_0066,0.4815171857273255
TEST_0067,0.36515872619729406
TEST_0068,0.4347851347796382
TEST_0069,0.7171813017682502
TEST_0070,0.3766527681262678
TEST_0071,0.5761647804397803
TEST_0072,0.36920103007063276
TEST_0073,0.7038585516786835
TEST_0074,0.5021424020550894
TEST_0075,0.22618388203099873
TEST_0076,0.4806774789804616
TEST_0077,0.4301189347960006
TEST_0078,0.4766315572969111
TEST_0079,0.45753249488974784
TEST_0080,0.4027188181628779
TEST_0081,0.26667805240972176
TEST_0082,0.3866348461163922
TEST_0083,0.48031486997819184
TEST_0084,0.3374689997254097
TEST_0085,0.42437832975232237
TEST_0086,0.33344255528276084
TEST_0087,0.7653608154101371
TEST_0088,0.15148200315112134
TEST_0089,0.7094716529847506
TEST_0090,0.609063393780048
TEST_0091,0.4468248166653227
TEST_0092,0.8787510595851067
TEST_0093,0.1134781507092989
TEST_0094,0.4710630341476949
TEST_0095,0.35445530792150715
TEST_0096,0.5491468054941004
TEST_0097,0.7092535505837705
TEST_0098,0.11880640649009686
TEST_0099,0.5452187172011383
TEST_0100,0.4627393032839326
TEST_0101,0.6584879488442676
TEST_0102,0.7661267504545084
TEST_0103,0.7739263272536544
TEST_0104,0.4122083311906758
TEST_0105,0.6666817801390865
TEST_0106,0.5258249697931091
TEST_0107,0.36268552637884693
TEST_0108,0.5609121980109111
TEST_0109,0.3701503613971722
TEST_0110,0.47585797587195544
TEST_0111,0.3326624177773838
TEST_0112,0.39937660031819333
TEST_0113,0.7294646369179184
TEST_0114,0.7066372623933439
TEST_0115,0.4963998547213573
TEST_0116,0.32555247162962775
TEST_0117,0.35124052491186364
TEST_0118,0.8405091884536326
TEST_0119,0.6502706825957734
TEST_0120,0.7053226755693591
TEST_0121,0.4127979965265187
TEST_0122,0.54719531955784
TEST_0123,0.43960384089464344
TEST_0124,0.41462561988535834
TEST_0125,0.8224230520749105
